 (m)      (n)       Wavelength(W)
  2        1          1215.73328
  3        1          1025.77502
  3        2          6564.95996
  4        1           972.58667
  4        2          4862.93311
  4        3         18757.02734
  5        1           949.79163
  5        2          4341.90479
  5        3         12822.18750
  5        4         40524.44531
  6        1           937.85144
  6        2          4103.10010
  6        3         10941.59961
  6        4         26259.83984
  6        5         74601.82031
  7        1           930.79584
  7        2          3971.39551
  7        3         10052.59473
  7        4         21662.15820
  7        5         46539.79297
  7        6        123724.24219
  8        1           926.27301
  8        2          3890.34668
  8        3          9549.03223
  8        4         19451.73242
  8        5         37407.17969
  8        6         75028.10938
  8        7        190626.98438
  9        1           923.19751
  9        2          3836.66479
  9        3          9231.97461
  9        4         18179.88867
  9        5         32971.33984
  9        6         59084.64062
  9        7        113091.69531
  9        8        278045.37500
 10        1           921.01007
 10        2          3799.16650
 10        3          9017.80176
 10        4         17367.61914
 10        5         30393.33203
 10        6         51288.75000
 10        7         87604.31250
 10        8        162097.78125
 10        9        388714.71875
 11        1           919.39832
 11        2          3771.89062
 11        3          8865.62695
 11        4         16811.85547
 11        5         28731.19727
 11        6         46727.06641
 11        7         75084.19531
 11        8        123876.82812
 11        9        223413.79688
 11       10        525370.50000
 12        1           918.17621
 12        2          3751.40576
 12        3          8753.28027
 12        4         16412.40039
 12        5         27583.86523
 12        6         43766.39844
 12        7         67722.74219
 12        8        105039.35938
 12        9        168813.25000
 12       10        298407.28125
 12       11        690747.93750
 13        1           917.22736
 13        2          3735.61694
 13        3          8667.79883
 13        4         16114.42578
 13        5         26752.46484
 13        6         41709.70703
 13        7         62921.79688
 13        8         93924.08594
 13        9        141836.70312
 13       10        223324.92188
 13       11        388445.78125
 13       12        887582.56250
 14        1           916.47589
 14        2          3723.18335
 14        3          8601.15039
 14        4         15885.58203
 14        5         26127.60156
 14        6         40210.37891
 14        7         59570.93359
 14        8         86648.63281
 14        9        125875.96875
 14       10        186159.17188
 14       11        288323.31250
 14       12        494896.96875
 14       13       1118609.75000
 15        1           915.87054
 15        2          3713.21265
 15        3          8548.12500
 15        4         15705.64551
 15        5         25644.37500
 15        6         39077.14062
 15        7         57117.01562
 15        8         81552.29688
 15        9        115399.68750
 15       10        164124.00000
 15       11        238689.95312
 15       12        364720.00000
 15       13        619128.50000
 15       14       1386564.75000
 16        1           915.37567
 16        2          3705.09204
 16        3          8505.21094
 16        4         15561.38672
 16        5         25261.99023
 16        6         38196.12891
 16        7         55254.19922
 16        8         77806.92969
 16        9        108040.48438
 16       10        149628.71875
 16       11        209214.20312
 16       12        300112.43750
 16       13        453426.59375
 16       14        762507.93750
 16       15       1694183.25000
 17        1           914.96594
 17        2          3698.38867
 17        3          8469.97070
 17        4         15443.82129
 17        5         24953.61719
 17        6         37495.52344
 17        7         53800.00000
 17        8         74954.00781
 17        9        102616.95312
 17       10        139423.39062
 17       11        189790.07812
 17       12        261692.89062
 17       13        371110.18750
 17       14        555354.81250
 17       15        926403.06250
 17       16       2044200.25000
 18        1           914.62292
 18        2          3692.79004
 18        3          8440.66309
 18        4         15346.65918
 18        5         24700.93555
 18        6         36927.89844
 18        7         52639.04297
 18        8         72719.55469
 18        9         98474.39844
 18       10        131885.35938
 18       11        176089.68750
 18       12        236338.56250
 18       13        322106.59375
 18       14        452366.78125
 18       15        671416.37500
 18       16       1112181.50000
