For epsilon =  0.50
 Theta 	      r
   0 	 2400.00000
   1 	 2399.63452
   2 	 2398.53882
   3 	 2396.71533
   4 	 2394.16797
   5 	 2390.90186
   6 	 2386.92407
   7 	 2382.24316
   8 	 2376.86841
   9 	 2370.81128
  10 	 2364.08423
  11 	 2356.70068
  12 	 2348.67578
  13 	 2340.02539
  14 	 2330.76636
  15 	 2320.91675
  16 	 2310.49536
  17 	 2299.52173
  18 	 2288.01660
  19 	 2276.00024
  20 	 2263.49463
  21 	 2250.52124
  22 	 2237.10278
  23 	 2223.26147
  24 	 2209.02026
  25 	 2194.40161
  26 	 2179.42871
  27 	 2164.12451
  28 	 2148.51147
  29 	 2132.61255
  30 	 2116.44946
  31 	 2100.04492
  32 	 2083.42041
  33 	 2066.59717
  34 	 2049.59595
  35 	 2032.43774
  36 	 2015.14209
  37 	 1997.72839
  38 	 1980.21558
  39 	 1962.62183
  40 	 1944.96460
  41 	 1927.26123
  42 	 1909.52783
  43 	 1891.78015
  44 	 1874.03345
  45 	 1856.30176
  46 	 1838.59912
  47 	 1820.93860
  48 	 1803.33240
  49 	 1785.79272
  50 	 1768.33044
  51 	 1750.95618
  52 	 1733.67993
  53 	 1716.51111
  54 	 1699.45825
  55 	 1682.52966
  56 	 1665.73303
  57 	 1649.07544
  58 	 1632.56335
  59 	 1616.20300
  60 	 1600.00000
  61 	 1583.95935
  62 	 1568.08582
  63 	 1552.38379
  64 	 1536.85681
  65 	 1521.50867
  66 	 1506.34229
  67 	 1491.36047
  68 	 1476.56555
  69 	 1461.95972
  70 	 1447.54468
  71 	 1433.32202
  72 	 1419.29272
  73 	 1405.45801
  74 	 1391.81848
  75 	 1378.37488
  76 	 1365.12708
  77 	 1352.07544
  78 	 1339.21973
  79 	 1326.55969
  80 	 1314.09509
  81 	 1301.82507
  82 	 1289.74915
  83 	 1277.86633
  84 	 1266.17566
  85 	 1254.67603
  86 	 1243.36633
  87 	 1232.24536
  88 	 1221.31152
  89 	 1210.56360
  90 	 1200.00000
  91 	 1189.61914
  92 	 1179.41943
  93 	 1169.39917
  94 	 1159.55676
  95 	 1149.89026
  96 	 1140.39795
  97 	 1131.07812
  98 	 1121.92883
  99 	 1112.94824
 100 	 1104.13452
 101 	 1095.48572
 102 	 1087.00000
 103 	 1078.67542
 104 	 1070.51001
 105 	 1062.50208
 106 	 1054.64954
 107 	 1046.95056
 108 	 1039.40332
 109 	 1032.00586
 110 	 1024.75635
 111 	 1017.65289
 112 	 1010.69373
 113 	 1003.87701
 114 	  997.20093
 115 	  990.66370
 116 	  984.26361
 117 	  977.99884
 118 	  971.86786
 119 	  965.86871
 120 	  960.00000
 121 	  954.25995
 122 	  948.64685
 123 	  943.15930
 124 	  937.79559
 125 	  932.55438
 126 	  927.43402
 127 	  922.43298
 128 	  917.54993
 129 	  912.78339
 130 	  908.13202
 131 	  903.59436
 132 	  899.16919
 133 	  894.85516
 134 	  890.65094
 135 	  886.55536
 136 	  882.56714
 137 	  878.68518
 138 	  874.90820
 139 	  871.23523
 140 	  867.66504
 141 	  864.19653
 142 	  860.82880
 143 	  857.56073
 144 	  854.39142
 145 	  851.31982
 146 	  848.34503
 147 	  845.46619
 148 	  842.68237
 149 	  839.99280
 150 	  837.39661
 151 	  834.89301
 152 	  832.48132
 153 	  830.16071
 154 	  827.93048
 155 	  825.79004
 156 	  823.73865
 157 	  821.77576
 158 	  819.90063
 159 	  818.11292
 160 	  816.41187
 161 	  814.79712
 162 	  813.26807
 163 	  811.82428
 164 	  810.46533
 165 	  809.19086
 166 	  808.00037
 167 	  806.89355
 168 	  805.87006
 169 	  804.92963
 170 	  804.07190
 171 	  803.29663
 172 	  802.60364
 173 	  801.99261
 174 	  801.46350
 175 	  801.01605
