 Value of d     Tension (T)
  0.5           11926.8164
  0.6           10002.0830
  0.7            8638.4482
  0.8            7626.1514
  0.9            6848.7935
  1.0            6236.6812
  1.1            5745.6230
  1.2            5346.3379
  1.3            5018.7607
  1.4            4748.8032
  1.5            4526.4258
  1.6            4344.4580
  1.7            4197.8701
  1.8            4083.3330
  1.9            3998.9924
  2.0            3944.4238
  2.1            3920.7842
  2.2            3931.2371
  2.3            3981.8398
  2.4            4083.3333
  2.5            4254.9277
  2.6            4533.1606
  2.7            4996.1621
  2.8            5849.3970
The minumum value of Tension is 3920.7842 N at distance of 2.1 m.
