   Antenna Gain vs Angle (deg)

   Antenna Gain    Angle (deg)

   0.99817             1
   0.99271             2
   0.98363             3
   0.97101             4
   0.95493             5
   0.93549             6
   0.91282             7
   0.88706             8
   0.85839             9
   0.82699            10
   0.79307            11
   0.75683            12
   0.71851            13
   0.67836            14
   0.63662            15
   0.59356            16
   0.54945            17
   0.50455            18
   0.45914            19
   0.41350            20
   0.36788            21
   0.32257            22
   0.27781            23
   0.23387            24
   0.19099            25
   0.14939            26
   0.10929            27
   0.07091            28
   0.03442            29
   0.00000            30
   0.03220            31
   0.06204            32
   0.08942            33
   0.11424            34
   0.13642            35
   0.15591            36
   0.17270            37
   0.18675            38
   0.19809            39
   0.20675            40
   0.21277            41
   0.21624            42
   0.21722            43
   0.21584            44
   0.21221            45
   0.20646            46
   0.19874            47
   0.18921            48
   0.17804            49
   0.16540            50
   0.15148            51
   0.13647            52
   0.12056            53
   0.10394            54
   0.08681            55
   0.06936            56
   0.05177            57
   0.03423            58
   0.01692            59
   0.00000            60
   0.01636            61
   0.03202            62
   0.04684            63
   0.06069            64
   0.07346            65
   0.08504            66
   0.09537            67
   0.10436            68
   0.11196            69
   0.11814            70
   0.12287            71
   0.12614            72
   0.12795            73
   0.12834            74
   0.12732            75
   0.12496            76
   0.12131            77
   0.11643            78
   0.11043            79
   0.10337            80
   0.09538            81
   0.08654            82
   0.07698            83
   0.06682            84
   0.05617            85
   0.04516            86
   0.03392            87
   0.02256            88
   0.01122            89
   0.00000            90
